subject,language,abbreviation,category,sequence of presentation,action,verbs,playmobil elements,framesetter,topic,verb,,,,,,,,,,,,,
6,T,,F,18,Kuh beißt Bäuerin ,ısırmak,"Hund, Kuh, Bäuerin",,1.2,3,,,,,,,,,,,,,
6,T,5b,E,19,Ärztin tanzt,dans etmek,"Ärztin, Wagen",2,1,3,,,,,,,,,,,,,
6,T,9u,E,20,Ball liegt auf Felsen,durmak,"Ball, Pferd",2,1,3,,,,,,,,,,,,,
6,T,7u,E,21,Reifen rollt Weg entlang,yuvarlanmak,"Reifen, Kuh",2,1,3,,,,,,,,,,,,,
6,T,4b,E,22,Bäuerin sitzt,oturmak,"Bäuerin, Ärztin",2,1,3,,,,,,,,,,,,,
6,T,,F,23,Reifen liegt,yatmak,Reifen,,1,2,,,,,,,,,,,,,
6,T,8u,E,24,Boot sinkt,batmak,"Boot, Ball",2,1,3,,,,,,,,,,,,,
6,T,,F,25,Ball hüpft,zıplamak,"Ball, Ärztin",,1,2,,,,,,,,,,,,,
6,T,2b,E,26,Kuh muht,mölemek,"Kuh, Hund",2,1,3,,,,,,,,,,,,,
6,T,5u,E,27,Auto wackelt,sallanmak,"Auto, Wagen",2,1,3,,,,,,,,,,,,,
6,T,,F,28,Ärztin steht,durmak,"Frau, Bäuerin, Ärztin",,1,2,,,,,,,,,,,,,
6,T,8b,E,29,Robbe taucht ins Wasser,dalmak,"Robbe, Ball",2,1,3,,,,,,,,,,,,,
6,T,1u,E,30,Ball liegt auf dem Boden.,durmak,"Ball, Pferd",2,1,3,,,,,,,,,,,,,
7,T,Tb,T,T,Frau dreht sich,dönmek,"Frau, Hund",2,1,3,,,,,,,,,,,,,
7,T,Tu,T,T,Reifen dreht sich,dönmek,"Reifen, Hund",1,2,3,,,,,,,,,,,,,
7,T,10b,E,1,Seemann raucht,sigara içmek,"Seemann, Hund",2,1,3,,,,,,,,,,,,,
7,T,,F,2,Pferd trägt Ball im Maul,ta_ımak,"Pferd, Bauer, Robbe",,1.2,3,,,,,,,,,,,,,
7,T,3u,E,3,Auto fährt Hügel herunter,ilerlemek,"Auto, Wagen",2,1,3,,,,,,,,,,,,,
7,T,6b,E,4,Kuh hüpft,zıplamak,"Kuh, Feuerwehrmann",3,1,2,,,,,,,,,,,,,
7,T,,F,5,Boot schwimmt im Meer,yüzmek,"Seemann, Boot",,1,2,,,,,,,,,,,,,
7,T,,F,6,Bauer läuft über eine Wiese,ko_mak,"Bäuerin, Pferd, Bauer",,1,2,,,,,,,,,,,,,
7,T,4u,E,7,Ball liegt,durmak,"Ball, Ärztin",3,1,2,,,,,,,,,,,,,
7,T,2u,E,8,Auto hupt,kornak çalmak,"Auto, Hund",2,1,3,,,,,,,,,,,,,
7,T,9b,E,9,Robbe liegt auf Felsen,yatmak,"Robbe, Pferd",3,2,1,,,,,,,,,,,,,
7,T,,F,10,Auto wackelt,sallanmak,Auto,,1,2,,,,,,,,,,,,,
7,T,7b,E,11,Bäuerin läuft Weg entlang,yürümek,"Bäuerin, Kuh",2,1,3,,,,,,,,,,,,,
7,T,6u,E,12,Ball hüpft,zıplamak,"Ball, Feuerwehrmann",1,2,3,,,,,,,,,,,,,
7,T,,F,13,Auto schiebt (Pferde-)Wagen,itmek,"Ärztin, Ball, Reifen, Auto, Wagen",,1.2,3,,,,,,,,,,,,,
7,T,3b,E,14,Pferd läuft Hügel herunter,ko_mak,"Pferd, Wagen",2,1,3,,,,,,,,,,,,,
7,T,,F,15,Robbe stößt Ball mit Maul,itmek,"Feuerwehrmann, Kuh, Ball, Robbe",,1.2,3,,,,,,,,,,,,,
7,T,1b,E,16,Bauer liegt auf dem Boden,yatmak,"Bauer, Pferd",1,2,3,,,,,,,,,,,,,
7,T,10u,E,17,Boot qualmt,tütmek,"Boot, Hund",1,2,3,,,,,,,,,,,,,
7,T,,F,18,Kuh beißt Bäuerin ,ısırmak,"Hund, Kuh, Bäuerin",,1.2,3,,,,,,,,,,,,,
7,T,5b,E,19,Ärztin tanzt,dans etmek,"Ärztin, Wagen",2,1,3,,,,,,,,,,,,,
7,T,9u,E,20,Ball liegt auf Felsen,durmak,"Ball, Pferd",1,2,3,,,,,,,,,,,,,
7,T,7u,E,21,Reifen rollt Weg entlang,yuvarlanmak,"Reifen, Kuh",2,1,3,,,,,,,,,,,,,
7,T,4b,E,22,Bäuerin sitzt,oturmak,"Bäuerin, Ärztin",2,1,3,,,,,,,,,,,,,
7,T,,F,23,Reifen liegt,yatmak,Reifen,,1,2,,,,,,,,,,,,,
7,T,8u,E,24,Boot sinkt,batmak,"Boot, Ball",1,2,3,,,,,,,,,,,,,
7,T,,F,25,Ball hüpft,zıplamak,"Ball, Ärztin",,1,2,,,,,,,,,,,,,
7,T,2b,E,26,Kuh muht,mölemek,"Kuh, Hund",2,1,3,,,,,,,,,,,,,
7,T,5u,E,27,Auto wackelt,sallanmak,"Auto, Wagen",3,2,1,,,,,,,,,,,,,
